dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
,_encoding_0_embedded_elf_riscv_64__encoding_0_encode_16x32xf32_to_16x32xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_0_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_0_embedded_elf_riscv_64_benchmark.mlir,0.089,ms,89000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_0_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_10_embedded_elf_riscv_64__encoding_10_encode_64x384xf32_to_64x384xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_10_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_10_embedded_elf_riscv_64_benchmark.mlir,0.255,ms,255000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_10_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_11_embedded_elf_riscv_64__encoding_11_encode_96x384xf32_to_96x384xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_11_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_11_embedded_elf_riscv_64_benchmark.mlir,0.258,ms,258000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_11_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_12_embedded_elf_riscv_64__encoding_12_encode_96xf32_to_96xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_12_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_12_embedded_elf_riscv_64_benchmark.mlir,0.084,ms,84000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_12_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_13_embedded_elf_riscv_64__encoding_13_encode_96x576xf32_to_96x576xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_13_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_13_embedded_elf_riscv_64_benchmark.mlir,0.289,ms,289000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_13_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_14_embedded_elf_riscv_64__encoding_14_encode_160x576xf32_to_160x576xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_14_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_14_embedded_elf_riscv_64_benchmark.mlir,1.83,ms,1830000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_14_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_15_embedded_elf_riscv_64__encoding_15_encode_160xf32_to_160xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_15_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_15_embedded_elf_riscv_64_benchmark.mlir,0.083,ms,83000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_15_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_16_embedded_elf_riscv_64__encoding_16_encode_160x960xf32_to_160x960xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_16_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_16_embedded_elf_riscv_64_benchmark.mlir,3.02,ms,3020000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_16_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_17_embedded_elf_riscv_64__encoding_17_encode_320x960xf32_to_320x960xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_17_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_17_embedded_elf_riscv_64_benchmark.mlir,4.81,ms,4810000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_17_embedded_elf_riscv_64_benchmark.vmfb.log
,_encoding_18_embedded_elf_riscv_64__encoding_18_encode_320xf32_to_320xf32,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_18_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/mobilenet_rvv/module__encoding_18_embedded_elf_riscv_64_benchmark.mlir,0.08,ms,80000.000000,0,/home/dima/sched_vmfb/out/mobilenet_rvv/topo_0_1_2_3/logs/module__encoding_18_embedded_elf_riscv_64_benchmark.vmfb.log
