policy,candidate_id,seed,contention_level,freshness_window,delta,A0,deadline_and_stale_count,deadline_miss_count,deadline_success_rate,divergence,dronet_deadline_success_rate,dronet_deadline_success_rate_vs_ref,dronet_max_lateness_ms,dronet_max_lateness_ms_vs_ref,dronet_n_invocations,dronet_reference_window_ms,epoch_comparable,epoch_ms,fits_in_epoch,freshness_success_rate,makespan_ms,max_input_age,max_input_age_at_start,n_with_age,no_producer_count,no_producer_rate,output_valid_rate,p50_input_age,p50_input_age_at_start,p95_input_age,p95_input_age_at_start,p99_input_age,pipeline_fill_ms,soft_instances_admitted,soft_instances_completed,soft_instances_offered,soft_instances_released,solver_wall_s,stale_input_count,stale_input_rate,steady_no_producer_rate,steady_output_valid_rate,steady_stale_input_rate,steady_total_consumer_invocations,structurally_unservable_count,total_consumer_invocations,valid_count
probe_slow_producer,probe_slow_producer,0,2,65.546074,5.0,60.546074,0,0,1.0,0.7333333333333334,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.26666666666666666,290.5460739999999,130.546074,130.0,21,9,0.3,0.26666666666666666,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,13,0.43333333333333335,0.25,0.2857142857142857,0.4642857142857143,28,2,30,8
probe_slow_producer,probe_slow_producer,0,2,70.546074,10.0,60.546074,0,0,1.0,0.6666666666666667,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.3333333333333333,290.5460739999999,130.546074,130.0,21,9,0.3,0.3333333333333333,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,11,0.36666666666666664,0.25,0.35714285714285715,0.39285714285714285,28,2,30,10
probe_slow_producer,probe_slow_producer,0,2,80.546074,20.0,60.546074,0,0,1.0,0.6,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.4,290.5460739999999,130.546074,130.0,21,9,0.3,0.4,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,9,0.3,0.25,0.42857142857142855,0.32142857142857145,28,2,30,12
probe_slow_producer,probe_slow_producer,0,2,90.546074,30.0,60.546074,0,0,1.0,0.5333333333333333,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.4666666666666667,290.5460739999999,130.546074,130.0,21,9,0.3,0.4666666666666667,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,7,0.23333333333333334,0.25,0.5,0.25,28,2,30,14
probe_slow_producer,probe_slow_producer,0,2,110.546074,50.0,60.546074,0,0,1.0,0.3666666666666667,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.6333333333333333,290.5460739999999,130.546074,130.0,21,9,0.3,0.6333333333333333,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,2,0.06666666666666667,0.25,0.6785714285714286,0.07142857142857142,28,2,30,19
probe_slow_producer,probe_slow_producer,0,3,65.546074,5.0,60.546074,0,0,1.0,1.0,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.0,290.5460739999999,180.546074,180.0,21,9,0.3,0.0,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,21,0.7,0.25,0.0,0.75,28,2,30,0
probe_slow_producer,probe_slow_producer,0,3,70.546074,10.0,60.546074,0,0,1.0,1.0,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.0,290.5460739999999,180.546074,180.0,21,9,0.3,0.0,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,21,0.7,0.25,0.0,0.75,28,2,30,0
probe_slow_producer,probe_slow_producer,0,3,80.546074,20.0,60.546074,0,0,1.0,1.0,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.0,290.5460739999999,180.546074,180.0,21,9,0.3,0.0,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,21,0.7,0.25,0.0,0.75,28,2,30,0
probe_slow_producer,probe_slow_producer,0,3,90.546074,30.0,60.546074,0,0,1.0,0.9,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.1,290.5460739999999,180.546074,180.0,21,9,0.3,0.1,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,18,0.6,0.25,0.10714285714285714,0.6428571428571429,28,2,30,3
probe_slow_producer,probe_slow_producer,0,3,110.546074,50.0,60.546074,0,0,1.0,0.7666666666666666,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.23333333333333334,290.5460739999999,180.546074,180.0,21,9,0.3,0.23333333333333334,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,14,0.4666666666666667,0.25,0.25,0.5,28,2,30,7
oracle,oracle<-probe_slow_producer,0,0,65.546074,5.0,60.546074,0,0,1.0,0.5,1.0,1.0,-82.82531699999998,-32.825316999999984,3,50.0,True,300.0,True,0.5,290.5460739999999,110.54607400000002,110.0,28,2,0.06666666666666667,0.5,60.546074000000004,60.0,107.04607399999999,106.49999999999999,110.54607400000002,17.973077999999997,0,0,0,0,5.313977956771851,13,0.43333333333333335,0.0,0.5357142857142857,0.4642857142857143,28,2,30,15
oracle,oracle<-probe_slow_producer,0,0,70.546074,10.0,60.546074,0,0,1.0,0.4,1.0,1.0,-82.82531699999998,-32.825316999999984,3,50.0,True,300.0,True,0.6,290.5460739999999,110.54607400000002,110.0,28,2,0.06666666666666667,0.6,60.546074000000004,60.0,107.04607399999999,106.49999999999999,110.54607400000002,17.973077999999997,0,0,0,0,5.313977956771851,10,0.3333333333333333,0.0,0.6428571428571429,0.35714285714285715,28,2,30,18
oracle,oracle<-probe_slow_producer,0,0,80.546074,20.0,60.546074,0,0,1.0,0.30000000000000004,1.0,1.0,-82.82531699999998,-32.825316999999984,3,50.0,True,300.0,True,0.7,290.5460739999999,110.54607400000002,110.0,28,2,0.06666666666666667,0.7,60.546074000000004,60.0,107.04607399999999,106.49999999999999,110.54607400000002,17.973077999999997,0,0,0,0,5.313977956771851,7,0.23333333333333334,0.0,0.75,0.25,28,2,30,21
oracle,oracle<-probe_slow_producer,0,0,90.546074,30.0,60.546074,0,0,1.0,0.19999999999999996,1.0,1.0,-82.82531699999998,-32.825316999999984,3,50.0,True,300.0,True,0.8,290.5460739999999,110.54607400000002,110.0,28,2,0.06666666666666667,0.8,60.546074000000004,60.0,107.04607399999999,106.49999999999999,110.54607400000002,17.973077999999997,0,0,0,0,5.313977956771851,4,0.13333333333333333,0.0,0.8571428571428571,0.14285714285714285,28,2,30,24
oracle,oracle<-probe_slow_producer,0,0,110.546074,50.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-82.82531699999998,-32.825316999999984,3,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,110.54607400000002,110.0,28,2,0.06666666666666667,0.9333333333333333,60.546074000000004,60.0,107.04607399999999,106.49999999999999,110.54607400000002,17.973077999999997,0,0,0,0,5.313977956771851,0,0.0,0.0,1.0,0.0,28,2,30,28
oracle,oracle<-probe_slow_producer,0,1,65.546074,5.0,60.546074,0,0,1.0,0.6666666666666667,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.3333333333333333,290.5460739999999,110.54607400000002,110.0,21,9,0.3,0.3333333333333333,70.54607399999992,70.0,110.546074,110.0,110.54607400000002,17.973077999999997,1,1,1,1,11.7384512424469,11,0.36666666666666664,0.25,0.35714285714285715,0.39285714285714285,28,2,30,10
oracle,oracle<-probe_slow_producer,0,1,70.546074,10.0,60.546074,0,0,1.0,0.6,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.4,290.5460739999999,110.54607400000002,110.0,21,9,0.3,0.4,70.54607399999992,70.0,110.546074,110.0,110.54607400000002,17.973077999999997,1,1,1,1,11.7384512424469,9,0.3,0.25,0.42857142857142855,0.32142857142857145,28,2,30,12
oracle,oracle<-probe_slow_producer,0,1,80.546074,20.0,60.546074,0,0,1.0,0.5333333333333333,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.4666666666666667,290.5460739999999,110.54607400000002,110.0,21,9,0.3,0.4666666666666667,70.54607399999992,70.0,110.546074,110.0,110.54607400000002,17.973077999999997,1,1,1,1,11.7384512424469,7,0.23333333333333334,0.25,0.5,0.25,28,2,30,14
oracle,oracle<-probe_slow_producer,0,1,90.546074,30.0,60.546074,0,0,1.0,0.43333333333333335,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.5666666666666667,290.5460739999999,110.54607400000002,110.0,21,9,0.3,0.5666666666666667,70.54607399999992,70.0,110.546074,110.0,110.54607400000002,17.973077999999997,1,1,1,1,11.7384512424469,4,0.13333333333333333,0.25,0.6071428571428571,0.14285714285714285,28,2,30,17
oracle,oracle<-probe_slow_producer,0,1,110.546074,50.0,60.546074,0,0,1.0,0.30000000000000004,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.7,290.5460739999999,110.54607400000002,110.0,21,9,0.3,0.7,70.54607399999992,70.0,110.546074,110.0,110.54607400000002,17.973077999999997,1,1,1,1,11.7384512424469,0,0.0,0.25,0.75,0.0,28,2,30,21
oracle,oracle<-probe_slow_producer,0,2,65.546074,5.0,60.546074,0,0,1.0,0.7333333333333334,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.26666666666666666,290.5460739999999,130.546074,130.0,21,9,0.3,0.26666666666666666,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,13,0.43333333333333335,0.25,0.2857142857142857,0.4642857142857143,28,2,30,8
oracle,oracle<-probe_slow_producer,0,2,70.546074,10.0,60.546074,0,0,1.0,0.6666666666666667,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.3333333333333333,290.5460739999999,130.546074,130.0,21,9,0.3,0.3333333333333333,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,11,0.36666666666666664,0.25,0.35714285714285715,0.39285714285714285,28,2,30,10
oracle,oracle<-probe_slow_producer,0,2,80.546074,20.0,60.546074,0,0,1.0,0.6,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.4,290.5460739999999,130.546074,130.0,21,9,0.3,0.4,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,9,0.3,0.25,0.42857142857142855,0.32142857142857145,28,2,30,12
oracle,oracle<-probe_slow_producer,0,2,90.546074,30.0,60.546074,0,0,1.0,0.5333333333333333,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.4666666666666667,290.5460739999999,130.546074,130.0,21,9,0.3,0.4666666666666667,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,7,0.23333333333333334,0.25,0.5,0.25,28,2,30,14
oracle,oracle<-probe_slow_producer,0,2,110.546074,50.0,60.546074,0,0,1.0,0.3666666666666667,1.0,0.6666666666666666,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.6333333333333333,290.5460739999999,130.546074,130.0,21,9,0.3,0.6333333333333333,80.54607399999992,80.0,120.546074,120.0,128.546074,17.973077999999997,2,2,2,2,18.211971521377563,2,0.06666666666666667,0.25,0.6785714285714286,0.07142857142857142,28,2,30,19
oracle,oracle<-probe_slow_producer,0,3,65.546074,5.0,60.546074,0,0,1.0,1.0,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.0,290.5460739999999,180.546074,180.0,21,9,0.3,0.0,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,21,0.7,0.25,0.0,0.75,28,2,30,0
oracle,oracle<-probe_slow_producer,0,3,70.546074,10.0,60.546074,0,0,1.0,1.0,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.0,290.5460739999999,180.546074,180.0,21,9,0.3,0.0,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,21,0.7,0.25,0.0,0.75,28,2,30,0
oracle,oracle<-probe_slow_producer,0,3,80.546074,20.0,60.546074,0,0,1.0,1.0,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.0,290.5460739999999,180.546074,180.0,21,9,0.3,0.0,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,21,0.7,0.25,0.0,0.75,28,2,30,0
oracle,oracle<-probe_slow_producer,0,3,90.546074,30.0,60.546074,0,0,1.0,0.9,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.1,290.5460739999999,180.546074,180.0,21,9,0.3,0.1,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,18,0.6,0.25,0.10714285714285714,0.6428571428571429,28,2,30,3
oracle,oracle<-probe_slow_producer,0,3,110.546074,50.0,60.546074,0,0,1.0,0.7666666666666666,1.0,0.0,-12.825316999999984,37.174683000000016,3,50.0,True,300.0,True,0.23333333333333334,290.5460739999999,180.546074,180.0,21,9,0.3,0.23333333333333334,130.546074,130.0,180.54607399999992,180.0,180.54607399999998,17.973077999999997,3,3,3,3,26.460962533950806,14,0.4666666666666667,0.25,0.25,0.5,28,2,30,7
