/prj/qct/webtech_scratch20/mlg_user_admin/qaisw_source_repo/rel/qairt-2.45.0/release/SNPE_SRC/avante-tools/prebuilt/dsp/hexagon-sdk-4.1.0/ipc/fastrpc/rpcmem/src/rpcmem_android.c:38:dummy call to rpcmem_init, rpcmem APIs will be used from libxdsprpc
[run] e=1   mlp_control   #0  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.073 ms (start=   0.061, late=+0.061)
[run] e=2   fused_split   #0  fused_vision_conv      lane=dsp|fused_split DSP predicted=  0.459 actual=  0.893 ms (start=   0.047, late=+0.047)
[run] e=0   fused_split   #0  fused_depth_conv       lane=hta|fused_split HTA predicted=  1.568 actual=  1.100 ms (start=   0.058, late=+0.058)
[run] e=5   mlp_control   #1  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.075 ms (start=   5.109, late=+0.109)
[run] e=6   fused_split   #0  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  1.848 ms (start=   6.676, late=+0.030)
[run] e=8   mlp_control   #2  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.090 ms (start=  10.024, late=+0.010)
[run] e=7   fused_split   #1  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.292 ms (start=  10.016, late=+0.016)
[run] e=4   yolov8n_a     #0  yolov8n_backbone       lane=hta|yolov8n_a HTA predicted= 13.909 actual= 13.538 ms (start=   1.742, late=+0.062)
[run] e=3   vint          #0  vint_encoders          lane=dsp|vint   DSP predicted= 14.213 actual= 15.670 ms (start=   0.959, late=+0.500)
[run] e=9   mlp_control   #3  mlp_control_full       lane=dsp|mlp_control DSP predicted=  0.589 actual=  0.900 ms (start=  16.882, late=+1.882)
[run] e=10  fused_split   #1  fused_vision_conv      lane=dsp|fused_split DSP predicted=  0.459 actual=  0.734 ms (start=  17.802, late=+2.213)
[run] e=11  fused_split   #1  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.645 ms (start=  18.734, late=+2.088)
[run] e=13  mlp_control   #4  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.061 ms (start=  20.009, late=+0.009)
[run] e=12  fused_split   #2  fused_vision_conv      lane=dsp|fused_split DSP predicted=  0.459 actual=  0.407 ms (start=  20.005, late=+0.005)
[run] e=14  fused_split   #2  fused_depth_conv       lane=hta|fused_split HTA predicted=  1.568 actual=  0.806 ms (start=  20.006, late=+0.006)
[run] e=18  mlp_control   #5  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.114 ms (start=  27.017, late=+0.017)
[run] e=17  fused_split   #2  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  1.082 ms (start=  26.676, late=+0.030)
[run] e=19  fused_split   #3  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.064 ms (start=  30.013, late=+0.013)
[run] e=20  mlp_control   #6  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.052 ms (start=  32.901, late=+0.008)
[run] e=16  yolov8n_b     #0  yolov8n_backbone       lane=hta|yolov8n_b HTA predicted= 13.909 actual= 14.393 ms (start=  21.630, late=+0.062)
[run] e=15  yolov8n_a     #0  yolov8n_head           lane=dsp|yolov8n_a DSP predicted= 15.377 actual= 18.020 ms (start=  20.521, late=+0.062)
[run] e=22  fused_split   #3  fused_vision_conv      lane=dsp|fused_split DSP predicted=  0.459 actual=  0.966 ms (start=  38.964, late=+2.777)
[run] e=23  fused_split   #3  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  1.100 ms (start=  40.000, late=+3.354)
[run] e=24  mlp_control   #7  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.083 ms (start=  41.152, late=+3.259)
[run] e=25  mlp_control   #8  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.040 ms (start=  42.418, late=+0.007)
[run] e=26  fused_split   #4  fused_vision_conv      lane=dsp|fused_split DSP predicted=  0.459 actual=  0.675 ms (start=  44.700, late=+0.008)
[run] e=27  fused_split   #4  fused_depth_conv       lane=dsp|fused_split DSP predicted=  0.392 actual=  0.399 ms (start=  46.058, late=+0.005)
[run] e=28  mlp_control   #9  mlp_control_full       lane=dsp|mlp_control DSP predicted=  0.589 actual=  0.476 ms (start=  46.690, late=+0.245)
[run] e=29  fused_split   #4  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.783 ms (start=  47.070, late=+0.424)
[run] e=21  yolov8n_c     #0  yolov8n_backbone       lane=hta|yolov8n_c HTA predicted= 13.909 actual= 12.199 ms (start=  36.198, late=+0.107)
[run] e=31  fused_split   #5  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  0.709 ms (start=  50.006, late=+0.006)
[run] e=34  mlp_control   #10 mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.073 ms (start=  52.905, late=+0.012)
[run] e=33  fused_split   #5  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.136 ms (start=  52.892, late=+0.013)
[run] e=36  mlp_control   #11 mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.064 ms (start=  57.011, late=+0.011)
[run] e=35  fused_split   #5  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  1.043 ms (start=  56.658, late=+0.012)
[run] e=32  yolov8n_d     #0  yolov8n_backbone       lane=hta|yolov8n_d HTA predicted= 13.909 actual= 13.786 ms (start=  50.990, late=+0.059)
[run] e=30  yolov8n_b     #0  yolov8n_head           lane=dsp|yolov8n_b DSP predicted= 15.377 actual= 17.791 ms (start=  47.180, late=+0.146)
[run] e=37  mlp_control   #12 mlp_control_full       lane=dsp|mlp_control DSP predicted=  0.589 actual=  0.823 ms (start=  65.426, late=+3.015)
[run] e=40  fused_split   #6  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  0.952 ms (start=  65.600, late=+0.760)
[run] e=38  fused_split   #6  fused_depth_conv       lane=dsp|fused_split DSP predicted=  0.392 actual=  0.594 ms (start=  66.283, late=+2.052)
[run] e=42  mlp_control   #13 mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.071 ms (start=  67.013, late=+0.013)
[run] e=41  fused_split   #6  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.707 ms (start=  67.075, late=+0.429)
[run] e=43  fused_split   #7  fused_depth_conv       lane=hta|fused_split HTA predicted=  1.568 actual=  0.763 ms (start=  70.005, late=+0.005)
[run] e=45  mlp_control   #14 mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.061 ms (start=  72.727, late=+0.335)
[run] e=44  fused_split   #7  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.369 ms (start=  71.571, late=+0.003)
[run] e=47  mlp_control   #15 mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.038 ms (start=  75.007, late=+0.007)
[run] e=46  fused_split   #7  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.819 ms (start=  74.661, late=+0.015)
[run] e=39  yolov8n_c     #0  yolov8n_head           lane=dsp|yolov8n_c DSP predicted= 15.377 actual= 17.156 ms (start=  66.902, late=+2.279)
[run] e=51  mlp_control   #16 mlp_control_full       lane=dsp|mlp_control DSP predicted=  0.589 actual=  0.587 ms (start=  84.531, late=+4.139)
[run] e=49  fused_split   #8  fused_depth_conv       lane=dsp|fused_split DSP predicted=  0.392 actual=  0.479 ms (start=  85.143, late=+5.143)
[run] e=50  fused_split   #8  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  9.547 ms (start=  82.279, late=+2.229)
[run] e=53  fused_split   #8  fused_tail             lane=dsp|fused_split DSP predicted=  4.303 actual=  3.618 ms (start=  91.875, late=+10.894)
[run] e=54  mlp_control   #17 mlp_control_full       lane=dsp|mlp_control DSP predicted=  0.589 actual=  0.818 ms (start=  95.874, late=+10.590)
[run] e=48  vint          #0  vint_decoder           lane=cpu|vint   CPU predicted= 37.826 actual= 22.332 ms (start=  78.867, late=+0.066)
[run] e=52  yolov8n_e     #0  yolov8n_backbone       lane=hta|yolov8n_e HTA predicted= 13.909 actual= 13.744 ms (start=  91.972, late=+10.991)
[run] e=55  yolov8n_d     #0  yolov8n_head           lane=dsp|yolov8n_d DSP predicted= 15.377 actual= 18.520 ms (start=  96.733, late=+10.860)
[run] e=56  yolov8n_e     #0  yolov8n_head           lane=dsp|yolov8n_e DSP predicted= 15.377 actual= 16.996 ms (start= 115.667, late=+14.417)

[summary] 57/57 entries executed, wall=132.663 ms (predicted makespan 116.627 ms, ratio 1.14x), tensor handoffs=2

=== MODELBLASTER_XPURT_TRACE_BEGIN ===
entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,actual_start_cycles,actual_end_cycles,time_unit,backend,ctx,graph,dep_wait_ms,gate_ms,n_ir_ops
45,mlp_control,14,0,qnn_graph,mlp_control_full,cpu,5,72.392000,0.107000,1,72727,72787,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,67.090759,72.392430,7
46,fused_split,7,2,qnn_graph,fused_tail,cpu,4,74.646000,0.354000,5,74660,75479,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,72.964286,74.646528,10
47,mlp_control,15,0,qnn_graph,mlp_control_full,cpu,5,75.000000,0.107000,1,75007,75045,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,72.801300,75.000566,7
48,vint,0,1,qnn_graph,vint_decoder,cpu,5,78.801000,37.826000,13,78866,101198,us,CPU,ctx_vint_decoder_fp32__Cpu.bin,vint_decoder,75.065708,78.857756,66
49,fused_split,8,1,qnn_graph,fused_depth_conv,dsp,6,80.000000,0.392000,2,85142,85621,us,DSP,ctx_fused_depth_conv__Dsp.bin,fused_depth_conv,84.596572,84.599540,2
50,fused_split,8,0,qnn_graph,fused_vision_conv,hta,7,80.050000,0.931000,0,82279,91826,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,72.958297,82.266918,4
51,mlp_control,16,0,qnn_graph,mlp_control_full,dsp,6,80.392000,0.589000,6,84531,85117,us,DSP,ctx_mlp_control__Dsp.bin,mlp_control,84.513830,84.524609,7
52,yolov8n_e,0,0,qnn_graph,yolov8n_backbone,hta,7,80.981000,13.909000,14,91972,105716,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,73.114097,82.312637,103
53,fused_split,8,2,qnn_graph,fused_tail,dsp,6,80.981000,4.303000,2,91875,95493,us,DSP,ctx_fused_tail_from_conv__Dsp.bin,fused_tail_from_conv,91.856780,91.866934,10
54,mlp_control,17,0,qnn_graph,mlp_control_full,dsp,6,85.284000,0.589000,6,95874,96692,us,DSP,ctx_mlp_control__Dsp.bin,mlp_control,95.767292,95.844202,7
55,yolov8n_d,0,1,qnn_graph,yolov8n_head,dsp,6,85.873000,15.377000,15,96732,115252,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,95.682622,96.088316,146
56,yolov8n_e,0,1,qnn_graph,yolov8n_head,dsp,6,101.250000,15.377000,16,115666,132662,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,106.073614,106.082622,146
=== MODELBLASTER_XPURT_TRACE_END ===
