policy,candidate_id,seed,contention_level,freshness_window,delta,A0,deadline_and_stale_count,deadline_miss_count,deadline_success_rate,divergence,dronet_deadline_success_rate,dronet_deadline_success_rate_vs_ref,dronet_max_lateness_ms,dronet_max_lateness_ms_vs_ref,dronet_n_invocations,dronet_reference_window_ms,epoch_ms,fits_in_epoch,freshness_success_rate,makespan_ms,max_input_age,max_input_age_at_start,n_with_age,no_producer_count,output_valid_rate,p50_input_age,p50_input_age_at_start,p95_input_age,p95_input_age_at_start,p99_input_age,soft_instances_admitted,soft_instances_completed,soft_instances_offered,soft_instances_released,solver_wall_s,stale_input_count,total_consumer_invocations,valid_count
probe_nonperiodic_priority,probe_nonperiodic_priority,0,3,65.546074,5.0,60.546074,0,0,1.0,0.926829268292683,0.0,0.0,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.07317073170731707,483.2069959999998,130.546074,130.0,32,9,0.07317073170731707,95.65059349999999,95.0,130.54607399999992,130.0,130.54607399999998,3,3,3,5,220.93477487564087,29,41,3
probe_nonperiodic_priority,probe_nonperiodic_priority,0,3,70.546074,10.0,60.546074,0,0,1.0,0.8780487804878049,0.0,0.0,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.12195121951219512,483.2069959999998,130.546074,130.0,32,9,0.12195121951219512,95.65059349999999,95.0,130.54607399999992,130.0,130.54607399999998,3,3,3,5,220.93477487564087,27,41,5
probe_nonperiodic_priority,probe_nonperiodic_priority,0,3,80.546074,20.0,60.546074,0,0,1.0,0.7804878048780488,0.0,0.0,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.21951219512195122,483.2069959999998,130.546074,130.0,32,9,0.21951219512195122,95.65059349999999,95.0,130.54607399999992,130.0,130.54607399999998,3,3,3,5,220.93477487564087,23,41,9
probe_nonperiodic_priority,probe_nonperiodic_priority,0,3,90.546074,30.0,60.546074,0,0,1.0,0.7073170731707317,0.0,0.0,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.2926829268292683,483.2069959999998,130.546074,130.0,32,9,0.2926829268292683,95.65059349999999,95.0,130.54607399999992,130.0,130.54607399999998,3,3,3,5,220.93477487564087,20,41,12
probe_nonperiodic_priority,probe_nonperiodic_priority,0,3,110.546074,50.0,60.546074,0,0,1.0,0.4390243902439024,0.0,0.0,37.174683000000016,37.174683000000016,9,50.0,300.0,False,0.5609756097560976,483.2069959999998,130.546074,130.0,32,9,0.5609756097560976,95.65059349999999,95.0,130.54607399999992,130.0,130.54607399999998,3,3,3,5,220.93477487564087,9,41,23
probe_nonperiodic_priority,probe_nonperiodic_priority,0,4,65.546074,5.0,60.546074,0,0,1.0,1.0,0.0,0.0,433.3325739999991,433.3325739999991,13,50.0,300.0,False,0.0,815.1923419999976,500.54607399999986,500.0,48,16,0.0,345.5460739999999,345.0,480.5719290499999,480.0,495.8460739999999,4,4,4,9,809.3110775947571,48,64,0
probe_nonperiodic_priority,probe_nonperiodic_priority,0,4,70.546074,10.0,60.546074,0,0,1.0,1.0,0.0,0.0,433.3325739999991,433.3325739999991,13,50.0,300.0,False,0.0,815.1923419999976,500.54607399999986,500.0,48,16,0.0,345.5460739999999,345.0,480.5719290499999,480.0,495.8460739999999,4,4,4,9,809.3110775947571,48,64,0
probe_nonperiodic_priority,probe_nonperiodic_priority,0,4,80.546074,20.0,60.546074,0,0,1.0,1.0,0.0,0.0,433.3325739999991,433.3325739999991,13,50.0,300.0,False,0.0,815.1923419999976,500.54607399999986,500.0,48,16,0.0,345.5460739999999,345.0,480.5719290499999,480.0,495.8460739999999,4,4,4,9,809.3110775947571,48,64,0
probe_nonperiodic_priority,probe_nonperiodic_priority,0,4,90.546074,30.0,60.546074,0,0,1.0,1.0,0.0,0.0,433.3325739999991,433.3325739999991,13,50.0,300.0,False,0.0,815.1923419999976,500.54607399999986,500.0,48,16,0.0,345.5460739999999,345.0,480.5719290499999,480.0,495.8460739999999,4,4,4,9,809.3110775947571,48,64,0
probe_nonperiodic_priority,probe_nonperiodic_priority,0,4,110.546074,50.0,60.546074,0,0,1.0,1.0,0.0,0.0,433.3325739999991,433.3325739999991,13,50.0,300.0,False,0.0,815.1923419999976,500.54607399999986,500.0,48,16,0.0,345.5460739999999,345.0,480.5719290499999,480.0,495.8460739999999,4,4,4,9,809.3110775947571,48,64,0
