xpurt-runner: schedule=scheduled_networks_k1_tri_exact_100ms_feedback_greedy_profiled entries=178 kinds=3 on linux/riscv64
modelblaster_pool[block=0]: width=4 harts=4+5+6+7
modelblaster_pool[block=1]: width=2 harts=0+1
modelblaster_pool[block=2]: width=4 harts=0+1+2+3
modelblaster_pool[block=3]: width=2 harts=2+3
xpurt: worker[0] kind=rvv pinned_hart=3 observed_cpu=3 claims_unbound=0 entries_done=2
xpurt: worker[1] kind=rvv pinned_hart=2 observed_cpu=2 claims_unbound=0 entries_done=11
xpurt: worker[2] kind=rvv pinned_hart=1 observed_cpu=1 claims_unbound=0 entries_done=11
xpurt: worker[3] kind=rvv pinned_hart=0 observed_cpu=0 claims_unbound=0 entries_done=142
xpurt: worker[4] kind=rvv_c1 pinned_hart=4 observed_cpu=4 claims_unbound=0 entries_done=12
=== MODELBLASTER_HART_ACC_BEGIN ===
worker_idx,kind_idx,kind,hart,kernel_us,dep_wait_us,sync_overhead_us,target_gate_spin_us,hart_idle_us,gemmini_cfg_emit_us,entries_done,wall_total_us
0,0,rvv,3,50726,50217,263,0,55,0,2,101470
1,0,rvv,2,102742,1294901,1165,522336,300,0,11,1923968
2,0,rvv,1,52013,694283,1114,1146679,256,0,11,1897636
3,0,rvv,0,1078939,327716,29036,552752,1207,0,142,1991540
4,2,rvv_c1,4,315253,1421986,1971,5,462,0,12,1740282
=== MODELBLASTER_HART_ACC_END ===
=== MODELBLASTER_XPURT_TRACE_BEGIN ===
entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,worker_hart,actual_start_cycles,actual_end_cycles
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv_c1,4,0.000000,1.292625,2,4,27393,75940
1,ffn_block,0,0,layernorm_s8,ln,rvv,3,0.000000,0.730583,0,3,4734,39961
2,fused_full,0,0,conv2d_s8,vision_cnn.0,rvv,2,0.000000,0.512750,0,2,10352,39937
3,fused_full,0,6,conv2d_s8,depth_conv.0,rvv,1,0.000000,0.035208,0,1,27062,33465
4,mlp_control,0,0,linear_s8,mlp.0,rvv,0,0.000000,0.028667,0,0,22716,23413
5,mlp_control,0,1,elu_s8,mlp.1,rvv,0,0.028667,0.015125,0,0,23470,23885
6,fused_full,0,7,conv2d_s8,depth_conv.2,rvv,1,0.035208,0.112583,0,1,33538,37539
7,mlp_control,0,2,linear_s8,mlp.2,rvv,0,0.043792,0.018458,0,0,23894,24456
8,mlp_control,0,3,elu_s8,mlp.3,rvv,0,0.062250,0.008250,0,0,24487,24709
9,mlp_control,0,4,linear_s8,mlp.4,rvv,0,0.070500,0.006250,0,0,24727,24937
10,mlp_control,0,5,elu_s8,mlp.5,rvv,0,0.076750,0.005125,0,0,24954,25090
11,mlp_control,0,6,linear_s8,mlp.6,rvv,0,0.081875,0.001125,0,0,25117,25163
12,fused_full,0,8,cast_i8_to_f16,flatten_1__cast_f16,rvv,0,0.147791,0.000917,0,0,38340,38663
13,fused_full,0,9,linear_f16,depth_fc,rvv,0,0.148708,0.027208,0,0,38692,47251
14,fused_full,0,1,conv2d_s8,vision_cnn.2,rvv,0,0.512750,0.662500,0,0,47297,67054
15,fused_full,0,2,conv2d_s8,vision_cnn.4,rvv,0,1.175250,0.743458,0,0,67079,89497
