entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,worker_hart,actual_start_cycles,actual_end_cycles
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv_c1,4,0.000000,1.878542,2,4,32295,94955
1,ffn_block,0,0,layernorm_s8,ln,rvv,3,0.000000,0.730583,0,3,6724,45061
2,fused_full,0,0,conv2d_s8,vision_cnn.0,rvv,2,0.000000,0.512750,0,2,11823,43801
3,fused_full,0,6,conv2d_s8,depth_conv.0,rvv,1,0.000000,0.035208,0,1,18039,27953
4,mlp_control,0,0,linear_s8,mlp.0,rvv,0,0.000000,0.028667,0,0,25241,26827
5,mlp_control,0,1,elu_s8,mlp.1,rvv,0,0.028667,0.015125,0,0,26894,27313
6,fused_full,0,7,conv2d_s8,depth_conv.2,rvv,1,0.035208,0.112583,0,1,28041,31459
7,mlp_control,0,2,linear_s8,mlp.2,rvv,0,0.043792,0.018458,0,0,27355,27803
8,mlp_control,0,3,elu_s8,mlp.3,rvv,0,0.062250,0.008250,0,0,27836,28054
9,mlp_control,0,4,linear_s8,mlp.4,rvv,0,0.070500,0.006250,0,0,28076,28328
10,mlp_control,0,5,elu_s8,mlp.5,rvv,0,0.076750,0.005125,0,0,28353,28501
11,mlp_control,0,6,linear_s8,mlp.6,rvv,0,0.081875,0.001125,0,0,28517,28555
12,fused_full,0,8,cast_i8_to_f16,flatten_1__cast_f16,rvv,0,0.147791,0.000917,0,0,32119,32413
13,fused_full,0,9,linear_f16,depth_fc,rvv,0,0.148708,0.027208,0,0,32438,43554
14,fused_full,0,1,conv2d_s8,vision_cnn.2,rvv,0,0.512750,0.662500,0,0,44501,64773
15,fused_full,0,2,conv2d_s8,vision_cnn.4,rvv,0,1.175250,0.743458,0,0,64826,86380
16,dronet,0,1,maxpool2d_s8,maxpool1,rvv,1,1.878542,0.712500,0,1,95968,116020
17,fused_full,0,3,conv2d_s8,vision_cnn.6,rvv,0,1.918708,0.434958,0,0,86419,101606
18,fused_full,0,4,cast_i8_to_f16,flatten__cast_f16,rvv,0,2.353666,0.001667,0,0,101648,101887
19,fused_full,0,5,linear_f16,vision_fc,rvv,2,2.355333,0.329167,0,2,102630,198475
20,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,0,2.591042,0.031917,0,0,117010,119171
21,dronet,0,5,conv2d_s8,conv_modules.3,rvv,1,2.591042,0.165958,0,1,116434,123531
22,dronet,0,3,conv2d_batchnorm2d_s8,conv_modules.1,rvv,3,2.622959,1.167000,0,3,120203,154044
23,ffn_block,0,1,linear_s8,fc1,rvv,2,2.684500,7.155458,0,2,199010,411446
24,fused_full,0,10,cat3_c1_f16,cat,rvv,0,2.684500,0.001833,0,0,200144,200231
25,fused_full,0,11,lstm_f16,lstm.l0,rvv,0,2.686333,0.301458,0,0,200261,253420
26,fused_full,0,12,lstm_f16,lstm.l1,rvv,0,2.987791,0.228875,0,0,253563,274414
27,fused_full,0,13,lstm_f16,lstm.l2,rvv,0,3.216666,0.228417,0,0,274513,291148
28,fused_full,0,14,linear_f16,head,rvv,0,3.445083,0.000875,0,0,291235,291285
29,dronet,0,4,conv2d_s8,conv_modules.2,rvv,0,3.789959,0.692292,0,0,291358,313007
30,dronet,0,6,add_s8,add,rvv,0,4.482251,0.033375,0,0,313060,316208
31,dronet,0,10,conv2d_s8,conv_modules.6,rvv,1,4.515626,0.075208,0,1,317884,324525
32,dronet,0,7,batchnorm2d_s8,bn_modules.2,rvv,0,4.515626,0.011667,0,0,316720,317448
33,dronet,0,8,conv2d_batchnorm2d_s8,conv_modules.4,rvv,0,4.527293,0.618875,0,0,317484,332408
34,dronet,0,9,conv2d_s8,conv_modules.5,rvv,0,5.146168,0.903833,0,0,332457,356187
35,dronet,0,11,add_s8,add_1,rvv,0,6.050001,0.016458,0,0,356226,356909
36,dronet,0,12,batchnorm2d_s8,bn_modules.4,rvv,0,6.066459,0.006333,0,0,357179,357469
37,dronet,0,15,conv2d_s8,conv_modules.9,rvv,1,6.066459,0.088042,0,1,357769,368053
38,dronet,0,13,conv2d_batchnorm2d_s8,conv_modules.7,rvv,0,6.072792,0.732542,0,0,357498,379930
39,dronet,0,14,conv2d_s8,conv_modules.8,rvv,0,6.805334,1.181417,0,0,379985,414656
40,dronet,0,16,add_s8,add_2,rvv,0,7.986751,0.010750,0,0,414703,415193
41,dronet,0,17,relu_s8,relu_modules.6,rvv,0,7.997501,0.000667,0,0,415207,415237
42,dronet,0,18,linear_s8,linear1,rvv,1,7.998168,0.002958,0,1,416273,416332
43,dronet,0,19,linear_s8,linear2,rvv,0,7.998168,0.001750,0,0,415596,415716
44,dronet,0,20,sigmoid_s8,sigmoid1,rvv,0,7.999918,0.001417,0,0,415733,415794
45,ffn_block,0,2,gelu_s8,act,rvv,0,9.839958,0.478250,0,0,415825,431026
46,ffn_block,0,3,linear_s8,fc2,rvv,0,10.318208,6.064958,0,0,431082,589871
47,ffn_block,0,4,add_s8,add,rvv,0,16.383165,0.169667,0,0,590003,595401
48,fused_full,1,0,conv2d_s8,vision_cnn.0,rvv,2,20.000000,0.512750,0,2,480066,494449
49,fused_full,1,6,conv2d_s8,depth_conv.0,rvv,1,20.000000,0.035208,0,1,480027,481105
50,mlp_control,1,0,linear_s8,mlp.0,rvv,0,20.000000,0.028667,0,0,615336,615836
51,mlp_control,1,1,elu_s8,mlp.1,rvv,0,20.028667,0.015125,0,0,615865,616234
